award_group,recipient,amount_usd_millions,description,start,end,awarding_sub_agency,award_url,retrieved_at
assistance,Recipient redacted in source,509.5,Details redacted at source (PII rule),,2028-08,Millennium Challenge Corporation,https://www.usaspending.gov/award/ASST_NON_LOGNPL001COM_524,2026-06-11T21:50:29Z
assistance,Helen Keller International,91.4,Suaahara Ii,2016-04,2023-11,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_AID367A1600006_072,2026-06-11T21:50:29Z
assistance,"Save The Children Federation, INC.",54.5,Suaahara (Good Nutrition),2011-08,2016-10,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_AID367A1100004_072,2026-06-11T21:50:29Z
assistance,Recipient redacted in source,40.5,Details redacted at source (PII rule),,,Millennium Challenge Corporation,https://www.usaspending.gov/award/ASST_NON_NA16NPL17001_524,2026-06-11T21:50:29Z
assistance,"Save The Children Federation, INC.",37.6,Build Resilience Among Targeted Vulnverable Populations In Nepal,2014-10,2020-02,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_AIDOAAA1500002_072,2026-06-11T21:50:29Z
assistance,Abt Global LLC,35.0,Health System Strengthening (Hss),2018-01,2024-07,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_72036718CA00001_072,2026-06-11T21:50:29Z
assistance,"World Wildlife Fund, INC.",35.0,Hariyo Ban Program,2011-08,2016-12,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_AID367A1100003_072,2026-06-11T21:50:29Z
assistance,United Nations World Food Programme,33.0,The Mcgovern-Dole Program Provides For The Donation Of Agricultural Commodities And The Provision Of Financial And Technical Assistance To Improve The Education,2023-10,2028-09,Foreign Agricultural Service,https://www.usaspending.gov/award/ASST_NON_FFE36723006_012,2026-06-11T21:50:29Z
assistance,Consortium For Elections & Political Process Strengthening,30.8,"Strengthen Political Parties, Electroal  And Legislative Processes In Nepal",2010-07,2017-06,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_AID367LA1000001_072,2026-06-11T21:50:29Z
assistance,United Nations World Food Programme,29.3,The Mcgovern-Dole Program Provides For The Donation Of Agricultural Commodities And The Provision Of Financial And Technical Assistance To Improve The Education,2017-09,2022-06,Foreign Agricultural Service,https://www.usaspending.gov/award/ASST_NON_FFE3672017021_012,2026-06-11T21:50:29Z
assistance,Jsi Research & Training Institute INC,29.3,To Support Nepal Family Health Program Ii,2007-12,2012-11,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_AID367A000800001_072,2026-06-11T21:50:29Z
assistance,United Nations World Food Programme,25.0,The Mcgovern-Dole Program Provides For The Donation Of Agricultural Commodities And The Provision Of Financial And Technical Assistance To Improve The Education,2020-11,2024-09,Foreign Agricultural Service,https://www.usaspending.gov/award/ASST_NON_FFE3672020012_012,2026-06-11T21:50:29Z
assistance,United Nations World Food Programme,25.0,The Mcgovern-Dole Program Provides For The Donation Of Agricultural Commodities And The Provision Of Financial And Technical Assistance To Improve The Education,2023-10,2023-09,Foreign Agricultural Service,https://www.usaspending.gov/award/ASST_NON_FFE-367-2020-012_012,2026-06-11T21:50:29Z
assistance,Mercy Corps,24.9,Build Resilience Among Targeted Vulnerable Populations In Nepal.,2014-10,2020-01,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_AIDOAAA1500001_072,2026-06-11T21:50:29Z
assistance,Georgetown University,24.2,Fertility Awareness For Community Transformation (Fact),2013-09,2019-09,Agency for International Development,https://www.usaspending.gov/award/ASST_NON_AIDOAAA1300083_072,2026-06-11T21:50:29Z
contracts,"Chemonics International, INC.",45.5,"Provide A New Task Order For Oti/Nepal To Chemonics, Under Swift Ii.  Cto: Justin Sherman New:To Chemonics For Oti/Nepal",2006-08,2011-09,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_AIDDOTI020300005_7200_AIDDOTI000300005_7200,2026-06-11T21:50:29Z
contracts,Research Triangle Institute,43.4,The Early Grade Reading Program Will Work To Improve The Reading Skills Of The Approximately One Million Individual Nepali Children In Public Primary School Dur,2015-03,2020-10,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_AID367TO1500002_7200_AIDOAAI1400044_7200,2026-06-11T21:50:29Z
contracts,Winrock International Institute For Agricultural Development,42.4,"Kisan Ii Project Will Explore Opportunities To Foster Partnerships In Areas Such As: Expanding Reach And Depth Of Input Supply, Technology Deployment, And Scali",2017-07,2024-08,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_AID367C1700001_7200_-NONE-_-NONE-,2026-06-11T21:50:29Z
contracts,DAI Global LLC,33.0,The Support Provided In This Project Will Help The Gon Achieve Its Goal Of More Disaster Resilient Development.  Tayar Nepal Will Consist Of Three Key Component,2019-08,2024-12,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_72036719C00004_7200_-NONE-_-NONE-,2026-06-11T21:50:29Z
contracts,"PACT, INC.",32.1,Igf::Ot::Igf - To Add $4774593 In The Contract With An Organisation To Implement Sajhedari Program.,2012-12,2018-05,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_AID367C1300003_7200_-NONE-_-NONE-,2026-06-11T21:50:29Z
contracts,Research Triangle Institute,25.8,"Igf::Ot::Igf The Negotiator Shall Solicit, Negotiate And Award H4L Contract.",2012-12,2022-05,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_AID367C1300001_7200_-NONE-_-NONE-,2026-06-11T21:50:29Z
contracts,DAI Global LLC,23.6,Igf::Ot::Igf This Is A Cost Plus Fixed Fee Term Type Task Order. The Contractor Must Perform The Services Set Forth In Task Order At The Prices Consistent With ,2016-04,2022-04,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_AID367TO1600001_7200_AIDOAAI1400014_7200,2026-06-11T21:50:29Z
contracts,DAI Global LLC,21.5,"The Goal Of The Kawas (The Activity) Is To Create Healthy, Resilient, And Water Secure Communities At The Watershed Level Through Strengthened Water And Sanitat",2021-07,2025-02,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_72036721C00001_7200_-NONE-_-NONE-,2026-06-11T21:50:29Z
contracts,Winrock International Institute For Agricultural Development,20.1,To Negotiate And Award For Ftf Component (A+B) Contract. Igf::Ot::Igf,2013-02,2017-08,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_AID367C1300004_7200_-NONE-_-NONE-,2026-06-11T21:50:29Z
contracts,Cdm International INC,19.3,Igf::Ot::Igf  Nepal Reconstruction Engineering Services Task Order (To) Under Usaid Nepal Infrastructure Reconstruction Expanded Project Authorization To Implem,2017-04,2024-08,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_AID367TO1700001_7200_AIDOAAI1500047_7200,2026-06-11T21:50:29Z
contracts,Deloitte Consulting LLP,18.7,"Urja Nepal'S Goal Is To Create A Financially Viable Electricity Sector That Provides Affordable, Reliable And Secure Power And Enables The Entry Of Private Inve",2020-08,2025-02,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_72036720F00001_7200_7200AA19D00025_7200,2026-06-11T21:50:29Z
contracts,Deloitte Consulting LLP,17.6,The Goal Is To Increase The Competitiveness Of Nepali Enterprises.  The Three Key Outcomes As Being Necessary And Sufficient To Achieving The Proposed Goal:   O,2022-01,2025-02,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_72036722C00001_7200_-NONE-_-NONE-,2026-06-11T21:50:29Z
contracts,Deloitte Consulting LLP,16.5,Fiscal Federalism Remains One Of The Most Important Decentralization Reforms In Nepal. The Government Of Nepal (Gon) Has Developed The Legal And Regulatory Fram,2022-09,2025-02,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_72036722N00001_7200_GS00Q14OADU113_4732,2026-06-11T21:50:29Z
contracts,"Nve, INC",15.7,"Funding Is To Provide One Tl, 8 Cags, And 13 Csts To Support The Dhahran Ncc Project From March 1, 2017 Through April 30, 2020.  Approval Flow Edit: Michael Sku",2017-02,2022-09,Department of State,https://www.usaspending.gov/award/CONT_AWD_SAQMMA17F0859_1900_SAQMMA16D0031_1900,2026-06-11T21:50:29Z
contracts,DAI Global LLC,15.3,The Purpose Of Usaid Biodiversity Is To Improve Biodiversity Conservation And Sustainable Management Of Natural Resources In Nepal'S Priority Conservation Lands,2022-11,2025-02,Agency for International Development,https://www.usaspending.gov/award/CONT_AWD_72036723C00001_7200_-NONE-_-NONE-,2026-06-11T21:50:29Z
